cpt_1,proc_type,procedure_group,Description
17273,Skin / Dermatology,"006-Destruction, non-facial lesion","Destruction, malignant lesion (eg, laser surgery, electrosurgery, cryosurgery, chemosurgery, surgical curettement), scalp, neck, hands, feet, genitalia; lesion diameter 2.1 to 3.0 cm"
17276,Skin / Dermatology,"006-Destruction, non-facial lesion","Destruction, malignant lesion (eg, laser surgery, electrosurgery, cryosurgery, chemosurgery, surgical curettement), scalp, neck, hands, feet, genitalia; lesion diameter over 4.0 cm"
17000,Skin / Dermatology,"006-Destruction, non-facial lesion","Destruction (eg, laser surgery, electrosurgery, cryosurgery, chemosurgery, surgical curettement), premalignant lesions (eg, actinic keratoses); first lesion"
17264,Skin / Dermatology,"006-Destruction, non-facial lesion","Destruction, malignant lesion (eg, laser surgery, electrosurgery, cryosurgery, chemosurgery, surgical curettement), trunk, arms or legs; lesion diameter 3.1 to 4.0 cm"
17266,Skin / Dermatology,"006-Destruction, non-facial lesion","Destruction, malignant lesion (eg, laser surgery, electrosurgery, cryosurgery, chemosurgery, surgical curettement), trunk, arms or legs; lesion diameter over 4.0 cm"
17003,Skin / Dermatology,"006-Destruction, non-facial lesion","Destruction (eg, laser surgery, electrosurgery, cryosurgery, chemosurgery, surgical curettement), premalignant lesions (eg, actinic keratoses); second through 14 lesions, each (List separately in addition to code for first lesion)"
17260,Skin / Dermatology,"006-Destruction, non-facial lesion","Destruction, malignant lesion (eg, laser surgery, electrosurgery, cryosurgery, chemosurgery, surgical curettement), trunk, arms or legs; lesion diameter 0.5 cm or less"
17263,Skin / Dermatology,"006-Destruction, non-facial lesion","Destruction, malignant lesion (eg, laser surgery, electrosurgery, cryosurgery, chemosurgery, surgical curettement), trunk, arms or legs; lesion diameter 2.1 to 3.0 cm"
17272,Skin / Dermatology,"006-Destruction, non-facial lesion","Destruction, malignant lesion (eg, laser surgery, electrosurgery, cryosurgery, chemosurgery, surgical curettement), scalp, neck, hands, feet, genitalia; lesion diameter 1.1 to 2.0 cm"
11307,Skin / Dermatology,"006-Destruction, non-facial lesion","Shaving of epidermal or dermal lesion, single lesion, scalp, neck, hands, feet, genitalia; lesion diameter 1.1 to 2.0 cm"
11300,Skin / Dermatology,"006-Destruction, non-facial lesion","Shaving of epidermal or dermal lesion, single lesion, trunk, arms or legs; lesion diameter 0.5 cm or less"
11302,Skin / Dermatology,"006-Destruction, non-facial lesion","Shaving of epidermal or dermal lesion, single lesion, trunk, arms or legs; lesion diameter 1.1 to 2.0 cm"
11301,Skin / Dermatology,"006-Destruction, non-facial lesion","Shaving of epidermal or dermal lesion, single lesion, trunk, arms or legs; lesion diameter 0.6 to 1.0 cm"
17110,Skin / Dermatology,007-Destruction of warts,"Destruction (eg, laser surgery, electrosurgery, cryosurgery, chemosurgery, surgical curettement), of benign lesions other than skin tags or cutaneous vascular proliferative lesions; up to 14 lesions"
17111,Skin / Dermatology,007-Destruction of warts,"Destruction (eg, laser surgery, electrosurgery, cryosurgery, chemosurgery, surgical curettement), of benign lesions other than skin tags or cutaneous vascular proliferative lesions; 15 or more lesions"
0352T,Temporary Code,008-Excision of breast tissue,"Optical coherence tomography of breast or axillary lymph node, excised tissue, each specimen; interpretation and report, real-time or referred"
0354T,Temporary Code,008-Excision of breast tissue,"Optical coherence tomography of breast, surgical cavity; interpretation and report, real-time or referred"
0351T,Temporary Code,008-Excision of breast tissue,"Optical coherence tomography of breast or axillary lymph node, excised tissue, each specimen; real-time intraoperative"
19125,Skin / Dermatology,008-Excision of breast tissue,"Excision of breast lesion identified by preoperative placement of radiological marker, open; single lesion"
19120,Skin / Dermatology,008-Excision of breast tissue,"Excision of cyst, fibroadenoma, or other benign or malignant tumor, aberrant breast tissue, duct lesion, nipple or areolar lesion (except 19300), open, male or female, 1 or more lesions"
19126,Skin / Dermatology,008-Excision of breast tissue,"Excision of breast lesion identified by preoperative placement of radiological marker, open; each additional lesion separately identified by a preoperative radiological marker (List separately in addition to code for primary procedure)"
0581T,Temporary Code,008-Excision of breast tissue,"Ablation, malignant breast tumor(s), percutaneous, cryotherapy, including imaging guidance when performed, unilateral"
0400T,Temporary Code,009-Other minor skin & breast surgery,NA
0490T,Temporary Code,009-Other minor skin & breast surgery,Autologous adipose-derived regenerative cell therapy for scleroderma in the hands; multiple injections in one or both hands
0489T,Temporary Code,009-Other minor skin & breast surgery,"Autologous adipose-derived regenerative cell therapy for scleroderma in the hands; adipose tissue harvesting, isolation and preparation of harvested cells including incubation with cell dissociation enzymes, removal of non-viable cells and debris, determination of concentration and dilution of regenerative cells"
0401T,Temporary Code,009-Other minor skin & breast surgery,NA
0493T,Temporary Code,009-Other minor skin & breast surgery,"Contact near-infrared spectroscopy studies of lower extremity wounds (eg, for oxyhemoglobin measurement)"
0663T,Temporary Code,009-Other minor skin & breast surgery,"Scalp cooling, mechanical; placement of device, monitoring, and removal of device (List separately in addition to code for primary procedure)"
10036,Skin / Dermatology,009-Other minor skin & breast surgery,"Placement of soft tissue localization device(s) (eg, clip, metallic pellet, wire/needle, radioactive seeds), percutaneous, including imaging guidance; each additional lesion (List separately in addition to code for primary procedure)"
11056,Skin / Dermatology,009-Other minor skin & breast surgery,"Paring or cutting of benign hyperkeratotic lesion (eg, corn or callus); 2 to 4 lesions"
11103,Skin / Dermatology,009-Other minor skin & breast surgery,"Tangential biopsy of skin (eg, shave, scoop, saucerize, curette); each separate/additional lesion (List separately in addition to code for primary procedure)"
11105,Skin / Dermatology,009-Other minor skin & breast surgery,"Punch biopsy of skin (including simple closure, when performed); each separate/additional lesion (List separately in addition to code for primary procedure)"
11200,Skin / Dermatology,009-Other minor skin & breast surgery,"Removal of skin tags, multiple fibrocutaneous tags, any area; up to and including 15 lesions"
11403,Skin / Dermatology,009-Other minor skin & breast surgery,"Excision, benign lesion including margins, except skin tag (unless listed elsewhere), trunk, arms or legs; excised diameter 2.1 to 3.0 cm"
11404,Skin / Dermatology,009-Other minor skin & breast surgery,"Excision, benign lesion including margins, except skin tag (unless listed elsewhere), trunk, arms or legs; excised diameter 3.1 to 4.0 cm"
11420,Skin / Dermatology,009-Other minor skin & breast surgery,"Excision, benign lesion including margins, except skin tag (unless listed elsewhere), scalp, neck, hands, feet, genitalia; excised diameter 0.5 cm or less"
11421,Skin / Dermatology,009-Other minor skin & breast surgery,"Excision, benign lesion including margins, except skin tag (unless listed elsewhere), scalp, neck, hands, feet, genitalia; excised diameter 0.6 to 1.0 cm"
11423,Skin / Dermatology,009-Other minor skin & breast surgery,"Excision, benign lesion including margins, except skin tag (unless listed elsewhere), scalp, neck, hands, feet, genitalia; excised diameter 2.1 to 3.0 cm"
11440,Skin / Dermatology,009-Other minor skin & breast surgery,"Excision, other benign lesion including margins, except skin tag (unless listed elsewhere), face, ears, eyelids, nose, lips, mucous membrane; excised diameter 0.5 cm or less"
11443,Skin / Dermatology,009-Other minor skin & breast surgery,"Excision, other benign lesion including margins, except skin tag (unless listed elsewhere), face, ears, eyelids, nose, lips, mucous membrane; excised diameter 2.1 to 3.0 cm"
11446,Skin / Dermatology,009-Other minor skin & breast surgery,"Excision, other benign lesion including margins, except skin tag (unless listed elsewhere), face, ears, eyelids, nose, lips, mucous membrane; excised diameter over 4.0 cm"
11450,Skin / Dermatology,009-Other minor skin & breast surgery,"Excision of skin and subcutaneous tissue for hidradenitis, axillary; with simple or intermediate repair"
11451,Skin / Dermatology,009-Other minor skin & breast surgery,"Excision of skin and subcutaneous tissue for hidradenitis, axillary; with complex repair"
11600,Skin / Dermatology,009-Other minor skin & breast surgery,"Excision, malignant lesion including margins, trunk, arms, or legs; excised diameter 0.5 cm or less"
11603,Skin / Dermatology,009-Other minor skin & breast surgery,"Excision, malignant lesion including margins, trunk, arms, or legs; excised diameter 2.1 to 3.0 cm"
11606,Skin / Dermatology,009-Other minor skin & breast surgery,"Excision, malignant lesion including margins, trunk, arms, or legs; excised diameter over 4.0 cm"
11642,Skin / Dermatology,009-Other minor skin & breast surgery,"Excision, malignant lesion including margins, face, ears, eyelids, nose, lips; excised diameter 1.1 to 2.0 cm"
11755,Skin / Dermatology,009-Other minor skin & breast surgery,"Biopsy of nail unit (eg, plate, bed, matrix, hyponychium, proximal and lateral nail folds) (separate procedure)"
11921,Skin / Dermatology,009-Other minor skin & breast surgery,"Tattooing, intradermal introduction of insoluble opaque pigments to correct color defects of skin, including micropigmentation; 6.1 to 20.0 sq cm"
11982,Skin / Dermatology,009-Other minor skin & breast surgery,"Removal, non-biodegradable drug delivery implant"
12006,Skin / Dermatology,009-Other minor skin & breast surgery,"Simple repair of superficial wounds of scalp, neck, axillae, external genitalia, trunk and/or extremities (including hands and feet); 20.1 cm to 30.0 cm"
12015,Skin / Dermatology,009-Other minor skin & breast surgery,"Simple repair of superficial wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 7.6 cm to 12.5 cm"
12020,Skin / Dermatology,009-Other minor skin & breast surgery,Treatment of superficial wound dehiscence; simple closure
12031,Skin / Dermatology,009-Other minor skin & breast surgery,"Repair, intermediate, wounds of scalp, axillae, trunk and/or extremities (excluding hands and feet); 2.5 cm or less"
12041,Skin / Dermatology,009-Other minor skin & breast surgery,"Repair, intermediate, wounds of neck, hands, feet and/or external genitalia; 2.5 cm or less"
12047,Skin / Dermatology,009-Other minor skin & breast surgery,"Repair, intermediate, wounds of neck, hands, feet and/or external genitalia; over 30.0 cm"
12052,Skin / Dermatology,009-Other minor skin & breast surgery,"Repair, intermediate, wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 2.6 cm to 5.0 cm"
12053,Skin / Dermatology,009-Other minor skin & breast surgery,"Repair, intermediate, wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 5.1 cm to 7.5 cm"
12054,Skin / Dermatology,009-Other minor skin & breast surgery,"Repair, intermediate, wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 7.6 cm to 12.5 cm"
15999,Skin / Dermatology,009-Other minor skin & breast surgery,"Unlisted procedure, excision pressure ulcer"
16025,Skin / Dermatology,009-Other minor skin & breast surgery,"Dressings and/or debridement of partial-thickness burns, initial or subsequent; medium (eg, whole face or whole extremity, or 5% to 10% total body surface area)"
16030,Skin / Dermatology,009-Other minor skin & breast surgery,"Dressings and/or debridement of partial-thickness burns, initial or subsequent; large (eg, more than 1 extremity, or greater than 10% total body surface area)"
17250,Skin / Dermatology,009-Other minor skin & breast surgery,"Chemical cauterization of granulation tissue (ie, proud flesh)"
17314,Skin / Dermatology,009-Other minor skin & breast surgery,"Mohs micrographic technique, including removal of all gross tumor, surgical excision of tissue specimens, mapping, color coding of specimens, microscopic examination of specimens by the surgeon, and histopathologic preparation including routine stain(s) (eg, hematoxylin and eosin, toluidine blue), of the trunk, arms, or legs; each additional stage after the first stage, up to 5 tissue blocks (List separately in addition to code for primary procedure)"
17340,Skin / Dermatology,009-Other minor skin & breast surgery,"Cryotherapy (CO2 slush, liquid N2) for acne"
17380,Skin / Dermatology,009-Other minor skin & breast surgery,"Electrolysis epilation, each 30 minutes"
19020,Skin / Dermatology,009-Other minor skin & breast surgery,"Mastotomy with exploration or drainage of abscess, deep"
19082,Skin / Dermatology,009-Other minor skin & breast surgery,"Biopsy, breast, with placement of breast localization device(s) (eg, clip, metallic pellet), when performed, and imaging of the biopsy specimen, when performed, percutaneous; each additional lesion, including stereotactic guidance (List separately in addition to code for primary procedure)"
19085,Skin / Dermatology,009-Other minor skin & breast surgery,"Biopsy, breast, with placement of breast localization device(s) (eg, clip, metallic pellet), when performed, and imaging of the biopsy specimen, when performed, percutaneous; first lesion, including magnetic resonance guidance"
19105,Skin / Dermatology,009-Other minor skin & breast surgery,"Ablation, cryosurgical, of fibroadenoma, including ultrasound guidance, each fibroadenoma"
19281,Skin / Dermatology,009-Other minor skin & breast surgery,"Placement of breast localization device(s) (eg, clip, metallic pellet, wire/needle, radioactive seeds), percutaneous; first lesion, including mammographic guidance"
19295,Skin / Dermatology,009-Other minor skin & breast surgery,NA
19499,Skin / Dermatology,009-Other minor skin & breast surgery,"Unlisted procedure, breast"
12056,Skin / Dermatology,009-Other minor skin & breast surgery,"Repair, intermediate, wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 20.1 cm to 30.0 cm"
13102,Skin / Dermatology,009-Other minor skin & breast surgery,"Repair, complex, trunk; each additional 5 cm or less (List separately in addition to code for primary procedure)"
15776,Skin / Dermatology,009-Other minor skin & breast surgery,Punch graft for hair transplant; more than 15 punch grafts
15793,Skin / Dermatology,009-Other minor skin & breast surgery,"Chemical peel, nonfacial; dermal"
15851,Skin / Dermatology,009-Other minor skin & breast surgery,"Removal of sutures under anesthesia (other than local), other surgeon"
17306,Skin / Dermatology,009-Other minor skin & breast surgery,NA
17360,Skin / Dermatology,009-Other minor skin & breast surgery,"Chemical exfoliation for acne (eg, acne paste, acid)"
17999,Skin / Dermatology,009-Other minor skin & breast surgery,"Unlisted procedure, skin, mucous membrane and subcutaneous tissue"
19000,Skin / Dermatology,009-Other minor skin & breast surgery,Puncture aspiration of cyst of breast;
19001,Skin / Dermatology,009-Other minor skin & breast surgery,Puncture aspiration of cyst of breast; each additional cyst (List separately in addition to code for primary procedure)
19084,Skin / Dermatology,009-Other minor skin & breast surgery,"Biopsy, breast, with placement of breast localization device(s) (eg, clip, metallic pellet), when performed, and imaging of the biopsy specimen, when performed, percutaneous; each additional lesion, including ultrasound guidance (List separately in addition to code for primary procedure)"
19100,Skin / Dermatology,009-Other minor skin & breast surgery,"Biopsy of breast; percutaneous, needle core, not using imaging guidance (separate procedure)"
19283,Skin / Dermatology,009-Other minor skin & breast surgery,"Placement of breast localization device(s) (eg, clip, metallic pellet, wire/needle, radioactive seeds), percutaneous; first lesion, including stereotactic guidance"
19284,Skin / Dermatology,009-Other minor skin & breast surgery,"Placement of breast localization device(s) (eg, clip, metallic pellet, wire/needle, radioactive seeds), percutaneous; each additional lesion, including stereotactic guidance (List separately in addition to code for primary procedure)"
15850,Skin / Dermatology,009-Other minor skin & breast surgery,"Removal of sutures under anesthesia (other than local), same surgeon"
15852,Skin / Dermatology,009-Other minor skin & breast surgery,Dressing change (for other than burns) under anesthesia (other than local)
16000,Skin / Dermatology,009-Other minor skin & breast surgery,"Initial treatment, first degree burn, when no more than local treatment is required"
16020,Skin / Dermatology,009-Other minor skin & breast surgery,"Dressings and/or debridement of partial-thickness burns, initial or subsequent; small (less than 5% total body surface area)"
17106,Skin / Dermatology,009-Other minor skin & breast surgery,"Destruction of cutaneous vascular proliferative lesions (eg, laser technique); less than 10 sq cm"
17307,Skin / Dermatology,009-Other minor skin & breast surgery,NA
17312,Skin / Dermatology,009-Other minor skin & breast surgery,"Mohs micrographic technique, including removal of all gross tumor, surgical excision of tissue specimens, mapping, color coding of specimens, microscopic examination of specimens by the surgeon, and histopathologic preparation including routine stain(s) (eg, hematoxylin and eosin, toluidine blue), head, neck, hands, feet, genitalia, or any location with surgery directly involving muscle, cartilage, bone, tendon, major nerves, or vessels; each additional stage after the first stage, up to 5 tissue blocks (List separately in addition to code for primary procedure)"
19030,Skin / Dermatology,009-Other minor skin & breast surgery,Injection procedure only for mammary ductogram or galactogram
19086,Skin / Dermatology,009-Other minor skin & breast surgery,"Biopsy, breast, with placement of breast localization device(s) (eg, clip, metallic pellet), when performed, and imaging of the biopsy specimen, when performed, percutaneous; each additional lesion, including magnetic resonance guidance (List separately in addition to code for primary procedure)"
19285,Skin / Dermatology,009-Other minor skin & breast surgery,"Placement of breast localization device(s) (eg, clip, metallic pellet, wire/needle, radioactive seeds), percutaneous; first lesion, including ultrasound guidance"
19286,Skin / Dermatology,009-Other minor skin & breast surgery,"Placement of breast localization device(s) (eg, clip, metallic pellet, wire/needle, radioactive seeds), percutaneous; each additional lesion, including ultrasound guidance (List separately in addition to code for primary procedure)"
19287,Skin / Dermatology,009-Other minor skin & breast surgery,"Placement of breast localization device(s) (eg clip, metallic pellet, wire/needle, radioactive seeds), percutaneous; first lesion, including magnetic resonance guidance"
19396,Skin / Dermatology,009-Other minor skin & breast surgery,Preparation of moulage for custom breast implant
12037,Skin / Dermatology,009-Other minor skin & breast surgery,"Repair, intermediate, wounds of scalp, axillae, trunk and/or extremities (excluding hands and feet); over 30.0 cm"
12042,Skin / Dermatology,009-Other minor skin & breast surgery,"Repair, intermediate, wounds of neck, hands, feet and/or external genitalia; 2.6 cm to 7.5 cm"
12044,Skin / Dermatology,009-Other minor skin & breast surgery,"Repair, intermediate, wounds of neck, hands, feet and/or external genitalia; 7.6 cm to 12.5 cm"
12045,Skin / Dermatology,009-Other minor skin & breast surgery,"Repair, intermediate, wounds of neck, hands, feet and/or external genitalia; 12.6 cm to 20.0 cm"
12051,Skin / Dermatology,009-Other minor skin & breast surgery,"Repair, intermediate, wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 2.5 cm or less"
12055,Skin / Dermatology,009-Other minor skin & breast surgery,"Repair, intermediate, wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 12.6 cm to 20.0 cm"
13100,Skin / Dermatology,009-Other minor skin & breast surgery,"Repair, complex, trunk; 1.1 cm to 2.5 cm"
13101,Skin / Dermatology,009-Other minor skin & breast surgery,"Repair, complex, trunk; 2.6 cm to 7.5 cm"
15792,Skin / Dermatology,009-Other minor skin & breast surgery,"Chemical peel, nonfacial; epidermal"
17107,Skin / Dermatology,009-Other minor skin & breast surgery,"Destruction of cutaneous vascular proliferative lesions (eg, laser technique); 10.0 to 50.0 sq cm"
17108,Skin / Dermatology,009-Other minor skin & breast surgery,"Destruction of cutaneous vascular proliferative lesions (eg, laser technique); over 50.0 sq cm"
17310,Skin / Dermatology,009-Other minor skin & breast surgery,NA
17311,Skin / Dermatology,009-Other minor skin & breast surgery,"Mohs micrographic technique, including removal of all gross tumor, surgical excision of tissue specimens, mapping, color coding of specimens, microscopic examination of specimens by the surgeon, and histopathologic preparation including routine stain(s) (eg, hematoxylin and eosin, toluidine blue), head, neck, hands, feet, genitalia, or any location with surgery directly involving muscle, cartilage, bone, tendon, major nerves, or vessels; first stage, up to 5 tissue blocks"
17313,Skin / Dermatology,009-Other minor skin & breast surgery,"Mohs micrographic technique, including removal of all gross tumor, surgical excision of tissue specimens, mapping, color coding of specimens, microscopic examination of specimens by the surgeon, and histopathologic preparation including routine stain(s) (eg, hematoxylin and eosin, toluidine blue), of the trunk, arms, or legs; first stage, up to 5 tissue blocks"
17315,Skin / Dermatology,009-Other minor skin & breast surgery,"Mohs micrographic technique, including removal of all gross tumor, surgical excision of tissue specimens, mapping, color coding of specimens, microscopic examination of specimens by the surgeon, and histopathologic preparation including routine stain(s) (eg, hematoxylin and eosin, toluidine blue), each additional block after the first 5 tissue blocks, any stage (List separately in addition to code for primary procedure)"
19081,Skin / Dermatology,009-Other minor skin & breast surgery,"Biopsy, breast, with placement of breast localization device(s) (eg, clip, metallic pellet), when performed, and imaging of the biopsy specimen, when performed, percutaneous; first lesion, including stereotactic guidance"
19083,Skin / Dermatology,009-Other minor skin & breast surgery,"Biopsy, breast, with placement of breast localization device(s) (eg, clip, metallic pellet), when performed, and imaging of the biopsy specimen, when performed, percutaneous; first lesion, including ultrasound guidance"
19103,Skin / Dermatology,009-Other minor skin & breast surgery,NA
19282,Skin / Dermatology,009-Other minor skin & breast surgery,"Placement of breast localization device(s) (eg, clip, metallic pellet, wire/needle, radioactive seeds), percutaneous; each additional lesion, including mammographic guidance (List separately in addition to code for primary procedure)"
19288,Skin / Dermatology,009-Other minor skin & breast surgery,"Placement of breast localization device(s) (eg clip, metallic pellet, wire/needle, radioactive seeds), percutaneous; each additional lesion, including magnetic resonance guidance (List separately in addition to code for primary procedure)"
96570,Evaluation & Management,009-Other minor skin & breast surgery,Photodynamic therapy by endoscopic application of light to ablate abnormal tissue via activation of photosensitive drug(s); first 30 minutes (List separately in addition to code for endoscopy or bronchoscopy procedures of lung and gastrointestinal tract)
96571,Evaluation & Management,009-Other minor skin & breast surgery,Photodynamic therapy by endoscopic application of light to ablate abnormal tissue via activation of photosensitive drug(s); each additional 15 minutes (List separately in addition to code for endoscopy or bronchoscopy procedures of lung and gastrointestinal tract)
96900,Evaluation & Management,009-Other minor skin & breast surgery,Actinotherapy (ultraviolet light)
96913,Evaluation & Management,009-Other minor skin & breast surgery,Photochemotherapy (Goeckerman and/or PUVA) for severe photoresponsive dermatoses requiring at least 4-8 hours of care under direct supervision of the physician (includes application of medication and dressings)
96922,Evaluation & Management,009-Other minor skin & breast surgery,Laser treatment for inflammatory skin disease (psoriasis); over 500 sq cm
96567,Evaluation & Management,009-Other minor skin & breast surgery,"Photodynamic therapy by external application of light to destroy premalignant lesions of the skin and adjacent mucosa with application and illumination/activation of photosensitive drug(s), per day"
96573,Evaluation & Management,009-Other minor skin & breast surgery,"Photodynamic therapy by external application of light to destroy premalignant lesions of the skin and adjacent mucosa with application and illumination/activation of photosensitizing drug(s) provided by a physician or other qualified health care professional, per day"
96910,Evaluation & Management,009-Other minor skin & breast surgery,Photochemotherapy; tar and ultraviolet B (Goeckerman treatment) or petrolatum and ultraviolet B
96920,Evaluation & Management,009-Other minor skin & breast surgery,Laser treatment for inflammatory skin disease (psoriasis); total area less than 250 sq cm
